sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:48";;;;
"Export UTC date";"2024-12-29T09:15:48.340Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/12/2024 06.45 PM";"78";"494";"416";"0";"0"
"10/12/2024 07.00 PM";"72";"733";"661";"0";"0"
"10/12/2024 07.15 PM";"141";"778";"637";"0";"0"
"10/12/2024 07.30 PM";"149";"606";"457";"0";"0"
"10/12/2024 07.45 PM";"77";"410";"333";"0";"0"
"10/12/2024 08.00 PM";"73";"419";"346";"0";"0"
"10/12/2024 08.15 PM";"144";"616";"473";"0";"0"
"10/12/2024 08.30 PM";"152";"391";"239";"0";"0"
"10/12/2024 08.45 PM";"77";"533";"456";"0";"0"
"10/12/2024 09.00 PM";"75";"472";"397";"0";"0"
"10/12/2024 09.15 PM";"147";"488";"340";"0";"0"
"10/12/2024 09.30 PM";"153";"433";"280";"0";"0"
"10/12/2024 09.45 PM";"1,961";"2,188";"227";"0";"0"
"10/12/2024 10.00 PM";"4,009";"4,134";"125";"0";"0"
"10/12/2024 10.15 PM";"2,619";"2,737";"118";"0";"0"
"10/12/2024 10.30 PM";"74";"245";"171";"0";"0"
"10/12/2024 10.45 PM";"98";"276";"177";"0";"0"
"10/12/2024 11.00 PM";"146";"324";"178";"0";"0"
"10/12/2024 11.15 PM";"117";"295";"178";"0";"0"
"10/12/2024 11.30 PM";"72";"212";"140";"0";"0"
"10/12/2024 11.45 PM";"101";"197";"96";"0";"0"
"10/13/2024 12.00 AM";"148";"245";"97";"0";"0"
"10/13/2024 12.15 AM";"116";"213";"97";"0";"0"
"10/13/2024 12.30 AM";"72";"169";"97";"0";"0"
"10/13/2024 12.45 AM";"104";"291";"188";"0";"0"
"10/13/2024 01.00 AM";"149";"332";"183";"0";"0"
"10/13/2024 01.15 AM";"114";"294";"180";"0";"0"
"10/13/2024 01.30 AM";"71";"247";"176";"0";"0"
"10/13/2024 01.45 AM";"106";"214";"108";"0";"0"
"10/13/2024 02.00 AM";"150";"243";"93";"0";"0"
"10/13/2024 02.15 AM";"113";"205";"92";"0";"0"
"10/13/2024 02.30 AM";"72";"163";"91";"0";"0"
"10/13/2024 02.45 AM";"108";"204";"96";"0";"0"
"10/13/2024 03.00 AM";"150";"333";"183";"0";"0"
"10/13/2024 03.15 AM";"112";"291";"179";"0";"0"
"10/13/2024 03.30 AM";"72";"248";"176";"0";"0"
"10/13/2024 03.45 AM";"110";"283";"173";"0";"0"
"10/13/2024 04.00 AM";"150";"263";"113";"0";"0"
"10/13/2024 04.15 AM";"110";"202";"92";"0";"0"
