sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/16/2024 03.15 PM";"0";"3,810";"3,997";"187";"482";"482"
"11/16/2024 03.30 PM";"0";"3,823";"4,014";"191";"390";"390"
"11/16/2024 03.45 PM";"0";"90";"204";"114";"331";"331"
"11/16/2024 04.00 PM";"0";"95";"186";"91";"177";"177"
"11/16/2024 04.15 PM";"0";"158";"248";"90";"110";"110"
"11/16/2024 04.30 PM";"0";"150";"239";"89";"28";"28"
"11/16/2024 04.45 PM";"0";"485";"563";"78";"0";"0"
"11/16/2024 05.00 PM";"0";"4,370";"4,497";"127";"0";"0"
"11/16/2024 05.15 PM";"0";"4,627";"4,818";"191";"0";"0"
"11/16/2024 05.30 PM";"0";"89";"257";"168";"0";"0"
"11/16/2024 05.45 PM";"0";"103";"267";"163";"0";"0"
"11/16/2024 06.00 PM";"0";"157";"312";"155";"0";"0"
"11/16/2024 06.15 PM";"0";"140";"220";"80";"0";"0"
"11/16/2024 06.30 PM";"0";"1,629";"1,728";"99";"0";"0"
"11/16/2024 06.45 PM";"0";"5,363";"5,526";"164";"0";"0"
"11/16/2024 07.00 PM";"0";"4,623";"3,693";"0";"0";"0"
"11/16/2024 07.15 PM";"0";"123";"621";"498";"0";"0"
"11/16/2024 07.30 PM";"0";"100";"461";"361";"0";"0"
"11/16/2024 07.45 PM";"280";"102";"725";"343";"0";"0"
"11/16/2024 08.00 PM";"4";"103";"400";"293";"0";"0"
"11/16/2024 08.15 PM";"0";"103";"506";"403";"0";"0"
"11/16/2024 08.30 PM";"0";"104";"316";"212";"0";"0"
"11/16/2024 08.45 PM";"0";"104";"484";"380";"0";"0"
"11/16/2024 09.00 PM";"0";"105";"1,397";"1,292";"0";"0"
"11/16/2024 09.15 PM";"0";"105";"1,181";"1,076";"0";"0"
"11/16/2024 09.30 PM";"0";"105";"1,045";"940";"0";"0"
"11/16/2024 09.45 PM";"0";"106";"479";"373";"0";"0"
"11/16/2024 10.00 PM";"0";"106";"426";"320";"0";"0"
"11/16/2024 10.15 PM";"0";"2,499";"2,809";"310";"0";"0"
"11/16/2024 10.30 PM";"0";"5,771";"6,076";"305";"0";"0"
"11/16/2024 10.45 PM";"0";"6,087";"6,393";"307";"0";"0"
"11/16/2024 11.00 PM";"0";"3,367";"3,663";"296";"0";"0"
"11/16/2024 11.15 PM";"0";"92";"338";"246";"0";"0"
"11/16/2024 11.30 PM";"0";"125";"348";"223";"0";"0"
"11/16/2024 11.45 PM";"0";"164";"389";"225";"0";"0"
"11/17/2024 12.00 AM";"0";"128";"350";"222";"0";"0"
"11/17/2024 12.15 AM";"0";"1,179";"1,395";"216";"0";"0"
"11/17/2024 12.30 AM";"0";"4,161";"4,407";"246";"0";"0"
"11/17/2024 12.45 AM";"0";"6,013";"6,326";"313";"0";"0"
"11/17/2024 01.00 AM";"0";"2,988";"3,298";"309";"0";"0"
"11/17/2024 01.15 AM";"0";"92";"258";"166";"0";"0"
"11/17/2024 01.30 AM";"0";"128";"290";"162";"0";"0"
"11/17/2024 01.45 AM";"0";"163";"319";"156";"0";"0"
"11/17/2024 02.00 AM";"0";"124";"205";"82";"0";"0"
"11/17/2024 02.15 AM";"0";"520";"611";"91";"0";"0"
"11/17/2024 02.30 AM";"0";"4,586";"4,859";"273";"0";"0"
"11/17/2024 02.45 AM";"0";"6,015";"6,571";"556";"0";"0"
"11/17/2024 03.00 AM";"0";"3,144";"3,437";"293";"0";"0"
"11/17/2024 03.15 AM";"0";"91";"409";"318";"0";"0"
"11/17/2024 03.30 AM";"0";"125";"439";"313";"0";"0"
"11/17/2024 03.45 AM";"0";"162";"463";"301";"0";"0"
"11/17/2024 04.00 AM";"0";"473";"779";"306";"0";"0"
"11/17/2024 04.15 AM";"0";"4,457";"4,621";"164";"0";"0"
